,id,beta,Date,marketcap,type
2801,BTC,-1.0358324705910296,2019-11-27,132516328568.4,crypto
2802,BTC,-1.041964405845046,2019-11-29,138209797407.9,crypto
2803,BTC,-1.0582811314695544,2019-12-02,132000430362.0,crypto
2804,BTC,-0.9495578832944244,2019-12-03,132502780769.24,crypto
2805,BTC,-0.9543272612730364,2019-12-04,132788976250.0,crypto
2806,BTC,-0.91572606317994,2019-12-05,132635444879.0,crypto
2807,BTC,-0.889102683663591,2019-12-06,134540480707.68001,crypto
2808,BTC,-0.9404774900491438,2019-12-09,135068219759.24998,crypto
2809,BTC,-0.8877767397519902,2019-12-10,131764886016.0,crypto
2810,BTC,-0.8083127161840465,2019-12-11,130279503378.18001,crypto
2811,BTC,-0.7785809457001643,2019-12-12,130032580605.81999,crypto
2812,BTC,-0.7657971093229465,2019-12-13,130907250789.28,crypto
2813,BTC,-0.7604878724799569,2019-12-16,125959880188.62001,crypto
2814,BTC,-0.7593189053105408,2019-12-17,121710707333.72,crypto
2815,BTC,-0.8429482129833832,2019-12-18,124319805277.92,crypto
2816,BTC,-0.8930548738749488,2019-12-19,129776392200.0,crypto
2817,BTC,-0.9171882231668758,2019-12-20,129569821804.5,crypto
2818,BTC,-0.9200895468435918,2019-12-23,136060164692.48,crypto
2819,BTC,-0.917577143926124,2019-12-24,132090652150.5,crypto
2820,BTC,-0.8910660169944067,2019-12-26,131426817018.14,crypto
2821,BTC,-0.8902206311705382,2019-12-27,130160359743.93001,crypto
2822,BTC,-0.8901167233675735,2019-12-30,132071850663.49998,crypto
2823,BTC,-0.8748906856558392,2019-12-31,130333336596.31999,crypto
2824,BTC,-0.8906928482370211,2020-01-02,127335298147.86,crypto
2825,BTC,-0.9226863460941206,2020-01-03,131113294144.64,crypto
2826,BTC,-0.9181145059076924,2020-01-06,137358026300.0,crypto
2827,BTC,-0.9661174117026604,2020-01-07,144577412570.16,crypto
2828,BTC,-0.9693396284511316,2020-01-08,148964321376.57,crypto
2829,BTC,-0.9813873753467524,2020-01-09,143202723621.6,crypto
2830,BTC,-0.9877612428499172,2020-01-10,144086769620.0,crypto
2831,BTC,-1.0166128222852069,2020-01-13,147125286055.74002,crypto
2832,BTC,-1.0298633650549298,2020-01-14,155926470040.08002,crypto
2833,BTC,-1.0515565018591124,2020-01-15,159065185164.88,crypto
2834,BTC,-1.055048842763011,2020-01-16,157577529098.43,crypto
2835,BTC,-1.0519317957987493,2020-01-17,161223432517.05,crypto
2836,BTC,-1.0406386388889517,2020-01-21,156858182265.69,crypto
2837,BTC,-1.0406803841763257,2020-01-22,157415680390.5,crypto
2838,BTC,-1.0477958337898976,2020-01-23,152984302573.16998,crypto
2839,BTC,-1.0605625274940833,2020-01-24,152496301487.25,crypto
2840,BTC,-1.1049163840761136,2020-01-27,159627584675.0,crypto
2841,BTC,-1.0950325321323575,2020-01-28,165302069539.91,crypto
2842,BTC,-1.1081924772580798,2020-01-29,169781145511.66,crypto
2843,BTC,-1.10254691337356,2020-01-30,170682005069.88,crypto
2844,BTC,-1.0324380939647153,2020-01-31,169670656415.54,crypto
